1464378167.714 2016-05-27 19:42:47 UTC 14614  [5748a337.3916:1] LOG:  database system was shut down at 2016-05-27 19:42:32 UTC
1464425664.074 2016-05-28 08:54:24 UTC 14615  [5748a337.3917:256] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.069 s, sync=0.004 s, total=0.077 s; sync files=3, longest=0.004 s, average=0.001 s; distance=2 kB, estimate=12403300 kB
1464425664.146 2016-05-28 08:54:24 UTC 14615  [5748a337.3917:257] LOG:  checkpoint starting: immediate force wait
1464425664.216 2016-05-28 08:54:24 UTC 14615  [5748a337.3917:258] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.068 s, sync=0.000 s, total=0.070 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=11162970 kB
1464426265.128 2016-05-28 09:04:25 UTC 14615  [5748a337.3917:259] LOG:  checkpoint starting: time
1464426269.292 2016-05-28 09:04:29 UTC 14615  [5748a337.3917:260] LOG:  checkpoint complete: wrote 41 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=4.158 s, sync=0.003 s, total=4.164 s; sync files=75, longest=0.000 s, average=0.000 s; distance=260025 kB, estimate=10072676 kB
1464427074.421 2016-05-28 09:17:54 UTC 14615  [5748a337.3917:261] LOG:  checkpoint starting: immediate force wait
1464427074.552 2016-05-28 09:17:54 UTC 14615  [5748a337.3917:262] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 16 recycled; write=0.093 s, sync=0.000 s, total=0.131 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=9065408 kB
1464427674.653 2016-05-28 09:27:54 UTC 14615  [5748a337.3917:263] LOG:  checkpoint starting: time
1464427674.829 2016-05-28 09:27:54 UTC 14615  [5748a337.3917:264] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.173 s, sync=0.000 s, total=0.176 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=8158868 kB
1464427974.711 2016-05-28 09:32:54 UTC 14615  [5748a337.3917:265] LOG:  checkpoint starting: immediate force wait
1464427974.790 2016-05-28 09:32:54 UTC 14615  [5748a337.3917:266] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.077 s, sync=0.000 s, total=0.079 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=7342982 kB
1464428355.532 2016-05-28 09:39:15 UTC 14615  [5748a337.3917:267] LOG:  checkpoint starting: xlog
1464428702.144 2016-05-28 09:45:02 UTC 14615  [5748a337.3917:268] LOG:  checkpoint complete: wrote 852740 buffers (40.7%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=346.484 s, sync=0.110 s, total=346.612 s; sync files=57, longest=0.107 s, average=0.001 s; distance=6689229 kB, estimate=7277606 kB
1464428753.911 2016-05-28 09:45:53 UTC 14615  [5748a337.3917:269] LOG:  checkpoint starting: xlog
1464429055.992 2016-05-28 09:50:55 UTC 14615  [5748a337.3917:270] LOG:  checkpoint complete: wrote 721210 buffers (34.4%); 0 transaction log file(s) added, 98 removed, 311 recycled; write=301.806 s, sync=0.123 s, total=302.081 s; sync files=54, longest=0.120 s, average=0.002 s; distance=6701049 kB, estimate=7219951 kB
1464429171.351 2016-05-28 09:52:51 UTC 14615  [5748a337.3917:271] LOG:  checkpoint starting: xlog
1464429481.890 2016-05-28 09:58:01 UTC 14615  [5748a337.3917:272] LOG:  checkpoint complete: wrote 758688 buffers (36.2%); 0 transaction log file(s) added, 91 removed, 318 recycled; write=310.223 s, sync=0.089 s, total=310.539 s; sync files=53, longest=0.084 s, average=0.001 s; distance=6701049 kB, estimate=7168060 kB
1464429609.454 2016-05-28 10:00:09 UTC 14615  [5748a337.3917:273] LOG:  checkpoint starting: xlog
1464429786.754 2016-05-28 10:03:06 UTC 14615  [5748a337.3917:274] LOG:  checkpoint complete: wrote 770545 buffers (36.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=176.945 s, sync=0.002 s, total=177.299 s; sync files=52, longest=0.000 s, average=0.000 s; distance=6701063 kB, estimate=7121361 kB
1464429786.754 2016-05-28 10:03:06 UTC 14615  [5748a337.3917:275] LOG:  checkpoint starting: immediate force wait
1464429793.379 2016-05-28 10:03:13 UTC 14615  [5748a337.3917:276] LOG:  checkpoint complete: wrote 279138 buffers (13.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=6.061 s, sync=0.001 s, total=6.623 s; sync files=48, longest=0.000 s, average=0.000 s; distance=2646685 kB, estimate=6673893 kB
1464429837.087 2016-05-28 10:03:57 UTC 14615  [5748a337.3917:277] LOG:  checkpoint starting: xlog
1464429877.043 2016-05-28 10:04:37 UTC 14615  [5748a337.3917:278] LOG:  checkpoint complete: wrote 212129 buffers (10.1%); 0 transaction log file(s) added, 0 removed, 161 recycled; write=39.723 s, sync=0.131 s, total=39.956 s; sync files=51, longest=0.021 s, average=0.002 s; distance=6695711 kB, estimate=6695711 kB
1464429954.280 2016-05-28 10:05:54 UTC 14615  [5748a337.3917:279] LOG:  checkpoint starting: xlog
1464430254.249 2016-05-28 10:10:54 UTC 14615  [5748a337.3917:280] LOG:  checkpoint complete: wrote 55125 buffers (2.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=299.761 s, sync=0.002 s, total=299.969 s; sync files=38, longest=0.000 s, average=0.000 s; distance=6698765 kB, estimate=6698765 kB
1464430554.360 2016-05-28 10:15:54 UTC 14615  [5748a337.3917:281] LOG:  checkpoint starting: time
1464430696.618 2016-05-28 10:18:16 UTC 14615  [5748a337.3917:282] LOG:  checkpoint complete: wrote 187701 buffers (9.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=141.746 s, sync=0.026 s, total=142.257 s; sync files=38, longest=0.025 s, average=0.000 s; distance=880025 kB, estimate=6116891 kB
1464430696.618 2016-05-28 10:18:16 UTC 14615  [5748a337.3917:283] LOG:  checkpoint starting: immediate force wait
1464430698.161 2016-05-28 10:18:18 UTC 14615  [5748a337.3917:284] LOG:  checkpoint complete: wrote 56379 buffers (2.7%); 0 transaction log file(s) added, 53 removed, 0 recycled; write=1.490 s, sync=0.003 s, total=1.543 s; sync files=7, longest=0.001 s, average=0.000 s; distance=0 kB, estimate=5505202 kB
1464430749.958 2016-05-28 10:19:09 UTC 14615  [5748a337.3917:285] LOG:  checkpoint starting: xlog
1464431098.046 2016-05-28 10:24:58 UTC 14615  [5748a337.3917:286] LOG:  checkpoint complete: wrote 613146 buffers (29.2%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=345.839 s, sync=2.206 s, total=348.087 s; sync files=56, longest=0.296 s, average=0.039 s; distance=6688216 kB, estimate=6688216 kB
1464431098.046 2016-05-28 10:24:58 UTC 14615  [5748a337.3917:287] LOG:  checkpoint starting: xlog
1464431472.502 2016-05-28 10:31:12 UTC 14615  [5748a337.3917:288] LOG:  checkpoint complete: wrote 1015289 buffers (48.4%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=373.599 s, sync=0.835 s, total=374.455 s; sync files=54, longest=0.237 s, average=0.015 s; distance=20414809 kB, estimate=20414809 kB
1464431472.502 2016-05-28 10:31:12 UTC 14615  [5748a337.3917:289] LOG:  checkpoint starting: xlog
1464431808.686 2016-05-28 10:36:48 UTC 14615  [5748a337.3917:290] LOG:  checkpoint complete: wrote 802790 buffers (38.3%); 0 transaction log file(s) added, 1246 removed, 0 recycled; write=334.487 s, sync=1.645 s, total=336.183 s; sync files=54, longest=0.281 s, average=0.030 s; distance=17947537 kB, estimate=20168082 kB
1464431808.686 2016-05-28 10:36:48 UTC 14615  [5748a337.3917:291] LOG:  checkpoint starting: xlog
1464432130.320 2016-05-28 10:42:10 UTC 14615  [5748a337.3917:292] LOG:  checkpoint complete: wrote 762487 buffers (36.4%); 0 transaction log file(s) added, 1095 removed, 0 recycled; write=320.250 s, sync=1.347 s, total=321.634 s; sync files=54, longest=0.200 s, average=0.024 s; distance=15849633 kB, estimate=19736237 kB
1464432130.321 2016-05-28 10:42:10 UTC 14615  [5748a337.3917:293] LOG:  checkpoint starting: xlog
1464432453.058 2016-05-28 10:47:33 UTC 14615  [5748a337.3917:294] LOG:  checkpoint complete: wrote 694316 buffers (33.1%); 1 transaction log file(s) added, 967 removed, 0 recycled; write=321.338 s, sync=1.332 s, total=322.737 s; sync files=54, longest=0.158 s, average=0.024 s; distance=15350542 kB, estimate=19297667 kB
1464432453.058 2016-05-28 10:47:33 UTC 14615  [5748a337.3917:295] LOG:  checkpoint starting: xlog
1464432524.962 2016-05-28 10:48:44 UTC 14615  [5748a337.3917:296] LOG:  checkpoint complete: wrote 1050595 buffers (50.1%); 1 transaction log file(s) added, 937 removed, 0 recycled; write=71.858 s, sync=0.003 s, total=71.903 s; sync files=54, longest=0.000 s, average=0.000 s; distance=14568585 kB, estimate=18824759 kB
1464432524.963 2016-05-28 10:48:44 UTC 14615  [5748a337.3917:297] LOG:  checkpoint starting: immediate force wait
1464432531.254 2016-05-28 10:48:51 UTC 14615  [5748a337.3917:298] LOG:  checkpoint complete: wrote 230636 buffers (11.0%); 0 transaction log file(s) added, 16 removed, 873 recycled; write=5.334 s, sync=0.002 s, total=6.291 s; sync files=48, longest=0.000 s, average=0.000 s; distance=2439149 kB, estimate=17186198 kB
1464432548.980 2016-05-28 10:49:08 UTC 14615  [5748a337.3917:299] LOG:  checkpoints are occurring too frequently (24 seconds apart)
1464432548.980 2016-05-28 10:49:08 UTC 14615  [5748a337.3917:300] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464432548.980 2016-05-28 10:49:08 UTC 14615  [5748a337.3917:301] LOG:  checkpoint starting: xlog
1464432654.432 2016-05-28 10:50:54 UTC 14615  [5748a337.3917:302] LOG:  checkpoint complete: wrote 187347 buffers (8.9%); 0 transaction log file(s) added, 149 removed, 0 recycled; write=104.766 s, sync=0.676 s, total=105.451 s; sync files=43, longest=0.075 s, average=0.015 s; distance=6692468 kB, estimate=16136825 kB
1464432654.433 2016-05-28 10:50:54 UTC 14615  [5748a337.3917:303] LOG:  checkpoint starting: xlog
1464432717.243 2016-05-28 10:51:57 UTC 14615  [5748a337.3917:304] LOG:  checkpoint complete: wrote 202469 buffers (9.7%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=62.037 s, sync=0.647 s, total=62.810 s; sync files=39, longest=0.049 s, average=0.016 s; distance=13487454 kB, estimate=15871888 kB
1464432730.152 2016-05-28 10:52:10 UTC 14615  [5748a337.3917:305] LOG:  checkpoint starting: xlog
1464432819.943 2016-05-28 10:53:39 UTC 14615  [5748a337.3917:306] LOG:  checkpoint complete: wrote 135465 buffers (6.5%); 0 transaction log file(s) added, 413 removed, 410 recycled; write=89.344 s, sync=0.004 s, total=89.791 s; sync files=38, longest=0.001 s, average=0.000 s; distance=6694287 kB, estimate=14954128 kB
1464433331.062 2016-05-28 11:02:11 UTC 14615  [5748a337.3917:307] LOG:  checkpoint starting: time
1464433438.794 2016-05-28 11:03:58 UTC 14615  [5748a337.3917:308] LOG:  checkpoint complete: wrote 313375 buffers (14.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=107.166 s, sync=0.003 s, total=107.731 s; sync files=38, longest=0.000 s, average=0.000 s; distance=3817758 kB, estimate=13840491 kB
1464433438.794 2016-05-28 11:03:58 UTC 14615  [5748a337.3917:309] LOG:  checkpoint starting: immediate force wait
1464433440.596 2016-05-28 11:04:00 UTC 14615  [5748a337.3917:310] LOG:  checkpoint complete: wrote 63172 buffers (3.0%); 0 transaction log file(s) added, 0 removed, 233 recycled; write=1.396 s, sync=0.004 s, total=1.802 s; sync files=7, longest=0.002 s, average=0.000 s; distance=0 kB, estimate=12456442 kB
1464433508.794 2016-05-28 11:05:08 UTC 14615  [5748a337.3917:311] LOG:  checkpoint starting: xlog
1464433831.539 2016-05-28 11:10:31 UTC 14615  [5748a337.3917:312] LOG:  checkpoint complete: wrote 306403 buffers (14.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=320.738 s, sync=1.984 s, total=322.744 s; sync files=56, longest=0.308 s, average=0.035 s; distance=6699103 kB, estimate=11880708 kB
1464433831.539 2016-05-28 11:10:31 UTC 14615  [5748a337.3917:313] LOG:  checkpoint starting: xlog
1464434154.195 2016-05-28 11:15:54 UTC 14615  [5748a337.3917:314] LOG:  checkpoint complete: wrote 592726 buffers (28.3%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=321.089 s, sync=1.525 s, total=322.656 s; sync files=54, longest=0.205 s, average=0.028 s; distance=15930919 kB, estimate=15930919 kB
1464434154.196 2016-05-28 11:15:54 UTC 14615  [5748a337.3917:315] LOG:  checkpoint starting: xlog
1464434446.734 2016-05-28 11:20:46 UTC 14615  [5748a337.3917:316] LOG:  checkpoint complete: wrote 577490 buffers (27.5%); 0 transaction log file(s) added, 972 removed, 0 recycled; write=290.793 s, sync=1.701 s, total=292.537 s; sync files=54, longest=0.333 s, average=0.031 s; distance=14570380 kB, estimate=15794865 kB
1464434446.734 2016-05-28 11:20:46 UTC 14615  [5748a337.3917:317] LOG:  checkpoint starting: xlog
1464434738.570 2016-05-28 11:25:38 UTC 14615  [5748a337.3917:318] LOG:  checkpoint complete: wrote 536148 buffers (25.6%); 0 transaction log file(s) added, 889 removed, 0 recycled; write=291.776 s, sync=0.017 s, total=291.835 s; sync files=54, longest=0.006 s, average=0.000 s; distance=13552668 kB, estimate=15570645 kB
1464434738.570 2016-05-28 11:25:38 UTC 14615  [5748a337.3917:319] LOG:  checkpoint starting: xlog
1464435054.682 2016-05-28 11:30:54 UTC 14615  [5748a337.3917:320] LOG:  checkpoint complete: wrote 542082 buffers (25.8%); 0 transaction log file(s) added, 827 removed, 0 recycled; write=313.809 s, sync=2.248 s, total=316.112 s; sync files=54, longest=0.427 s, average=0.041 s; distance=13670185 kB, estimate=15380599 kB
1464435054.683 2016-05-28 11:30:54 UTC 14615  [5748a337.3917:321] LOG:  checkpoint starting: xlog
1464435248.663 2016-05-28 11:34:08 UTC 14615  [5748a337.3917:322] LOG:  checkpoint complete: wrote 703992 buffers (33.6%); 0 transaction log file(s) added, 835 removed, 0 recycled; write=193.916 s, sync=0.015 s, total=193.979 s; sync files=55, longest=0.003 s, average=0.000 s; distance=14345009 kB, estimate=15277040 kB
1464435248.663 2016-05-28 11:34:08 UTC 14615  [5748a337.3917:323] LOG:  checkpoint starting: immediate force wait xlog
1464435274.944 2016-05-28 11:34:34 UTC 14615  [5748a337.3917:324] LOG:  checkpoint complete: wrote 912163 buffers (43.5%); 0 transaction log file(s) added, 442 removed, 433 recycled; write=25.698 s, sync=0.003 s, total=26.280 s; sync files=54, longest=0.000 s, average=0.000 s; distance=9664746 kB, estimate=14715811 kB
1464435291.716 2016-05-28 11:34:51 UTC 14615  [5748a337.3917:325] LOG:  checkpoint starting: xlog
1464435365.176 2016-05-28 11:36:05 UTC 14615  [5748a337.3917:326] LOG:  checkpoint complete: wrote 410040 buffers (19.6%); 0 transaction log file(s) added, 590 removed, 0 recycled; write=72.673 s, sync=0.762 s, total=73.460 s; sync files=51, longest=0.065 s, average=0.014 s; distance=6693629 kB, estimate=13913593 kB
1464435365.176 2016-05-28 11:36:05 UTC 14615  [5748a337.3917:327] LOG:  checkpoint starting: xlog
1464435450.313 2016-05-28 11:37:30 UTC 14615  [5748a337.3917:328] LOG:  checkpoint complete: wrote 114881 buffers (5.5%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=84.501 s, sync=0.582 s, total=85.136 s; sync files=39, longest=0.103 s, average=0.014 s; distance=11821792 kB, estimate=13704413 kB
1464435450.314 2016-05-28 11:37:30 UTC 14615  [5748a337.3917:329] LOG:  checkpoint starting: xlog
1464435505.494 2016-05-28 11:38:25 UTC 14615  [5748a337.3917:330] LOG:  checkpoint complete: wrote 136112 buffers (6.5%); 0 transaction log file(s) added, 379 removed, 342 recycled; write=54.755 s, sync=0.053 s, total=55.179 s; sync files=38, longest=0.014 s, average=0.001 s; distance=7792310 kB, estimate=13113202 kB
1464436050.629 2016-05-28 11:47:30 UTC 14615  [5748a337.3917:331] LOG:  checkpoint starting: time
1464436179.020 2016-05-28 11:49:39 UTC 14615  [5748a337.3917:332] LOG:  checkpoint complete: wrote 258253 buffers (12.3%); 0 transaction log file(s) added, 0 removed, 476 recycled; write=127.993 s, sync=0.000 s, total=128.391 s; sync files=38, longest=0.000 s, average=0.000 s; distance=4731378 kB, estimate=12275020 kB
1464436179.021 2016-05-28 11:49:39 UTC 14615  [5748a337.3917:333] LOG:  checkpoint starting: immediate force wait
1464436180.977 2016-05-28 11:49:40 UTC 14615  [5748a337.3917:334] LOG:  checkpoint complete: wrote 66060 buffers (3.1%); 0 transaction log file(s) added, 0 removed, 289 recycled; write=1.530 s, sync=0.002 s, total=1.955 s; sync files=7, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=11047518 kB
1464436246.727 2016-05-28 11:50:46 UTC 14615  [5748a337.3917:335] LOG:  checkpoint starting: xlog
1464436563.102 2016-05-28 11:56:03 UTC 14615  [5748a337.3917:336] LOG:  checkpoint complete: wrote 258475 buffers (12.3%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=314.864 s, sync=1.490 s, total=316.375 s; sync files=55, longest=0.213 s, average=0.027 s; distance=6699162 kB, estimate=10612682 kB
1464436563.102 2016-05-28 11:56:03 UTC 14615  [5748a337.3917:337] LOG:  checkpoint starting: xlog
1464436873.940 2016-05-28 12:01:13 UTC 14615  [5748a337.3917:338] LOG:  checkpoint complete: wrote 482590 buffers (23.0%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=310.308 s, sync=0.489 s, total=310.837 s; sync files=52, longest=0.259 s, average=0.009 s; distance=16204666 kB, estimate=16204666 kB
1464436873.940 2016-05-28 12:01:13 UTC 14615  [5748a337.3917:339] LOG:  checkpoint starting: xlog
1464437188.560 2016-05-28 12:06:28 UTC 14615  [5748a337.3917:340] LOG:  checkpoint complete: wrote 477997 buffers (22.8%); 0 transaction log file(s) added, 989 removed, 0 recycled; write=312.188 s, sync=2.371 s, total=314.619 s; sync files=52, longest=0.287 s, average=0.045 s; distance=14615720 kB, estimate=16045772 kB
1464437188.561 2016-05-28 12:06:28 UTC 14615  [5748a337.3917:341] LOG:  checkpoint starting: xlog
1464437498.360 2016-05-28 12:11:38 UTC 14615  [5748a337.3917:342] LOG:  checkpoint complete: wrote 474626 buffers (22.6%); 0 transaction log file(s) added, 892 removed, 0 recycled; write=306.842 s, sync=2.901 s, total=309.799 s; sync files=52, longest=0.380 s, average=0.055 s; distance=15024265 kB, estimate=15943621 kB
1464437498.360 2016-05-28 12:11:38 UTC 14615  [5748a337.3917:343] LOG:  checkpoint starting: xlog
1464437808.461 2016-05-28 12:16:48 UTC 14615  [5748a337.3917:344] LOG:  checkpoint complete: wrote 497340 buffers (23.7%); 0 transaction log file(s) added, 917 removed, 0 recycled; write=307.711 s, sync=2.328 s, total=310.100 s; sync files=52, longest=0.265 s, average=0.044 s; distance=14934963 kB, estimate=15842755 kB
1464437808.461 2016-05-28 12:16:48 UTC 14615  [5748a337.3917:345] LOG:  checkpoint starting: xlog
1464437981.364 2016-05-28 12:19:41 UTC 40579  [57498cd2.9e83:1] FATAL:  terminating autovacuum process due to administrator command
1464437982.558 2016-05-28 12:19:42 UTC 14615  [5748a337.3917:346] LOG:  checkpoint complete: wrote 338528 buffers (16.1%); 0 transaction log file(s) added, 911 removed, 0 recycled; write=174.059 s, sync=0.000 s, total=174.097 s; sync files=0, longest=0.000 s, average=0.000 s; distance=15091478 kB, estimate=15767627 kB
1464437982.559 2016-05-28 12:19:42 UTC 14615  [5748a337.3917:347] LOG:  checkpoint starting: immediate force wait xlog
1464437983.079 2016-05-28 12:19:43 UTC 14615  [5748a337.3917:348] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 467 removed, 454 recycled; write=0.060 s, sync=0.000 s, total=0.520 s; sync files=1, longest=0.000 s, average=0.000 s; distance=9320738 kB, estimate=15122938 kB
1464437989.387 2016-05-28 12:19:49 UTC 14615  [5748a337.3917:349] LOG:  checkpoint starting: immediate force wait flush-all
1464437990.260 2016-05-28 12:19:50 UTC 14615  [5748a337.3917:350] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 569 recycled; write=0.071 s, sync=0.008 s, total=0.872 s; sync files=3, longest=0.008 s, average=0.002 s; distance=2 kB, estimate=13610645 kB
1464437990.337 2016-05-28 12:19:50 UTC 14615  [5748a337.3917:351] LOG:  checkpoint starting: immediate force wait
1464437990.413 2016-05-28 12:19:50 UTC 14615  [5748a337.3917:352] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.073 s, sync=0.000 s, total=0.076 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=12249580 kB
1464438590.690 2016-05-28 12:29:50 UTC 14615  [5748a337.3917:353] LOG:  checkpoint starting: time
1464438591.256 2016-05-28 12:29:51 UTC 14615  [5748a337.3917:354] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.560 s, sync=0.002 s, total=0.565 s; sync files=75, longest=0.000 s, average=0.000 s; distance=260025 kB, estimate=11050625 kB
1464439397.618 2016-05-28 12:43:17 UTC 14615  [5748a337.3917:355] LOG:  checkpoint starting: immediate force wait
1464439397.716 2016-05-28 12:43:17 UTC 14615  [5748a337.3917:356] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 16 recycled; write=0.070 s, sync=0.000 s, total=0.098 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=9945562 kB
1464439997.816 2016-05-28 12:53:17 UTC 14615  [5748a337.3917:357] LOG:  checkpoint starting: time
1464439997.998 2016-05-28 12:53:17 UTC 14615  [5748a337.3917:358] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.178 s, sync=0.000 s, total=0.182 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=8951007 kB
1464440297.785 2016-05-28 12:58:17 UTC 14615  [5748a337.3917:359] LOG:  checkpoint starting: immediate force wait
1464440297.853 2016-05-28 12:58:17 UTC 14615  [5748a337.3917:360] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.065 s, sync=0.000 s, total=0.067 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=8055906 kB
1464440692.558 2016-05-28 13:04:52 UTC 14615  [5748a337.3917:361] LOG:  checkpoint starting: xlog
1464440995.001 2016-05-28 13:09:55 UTC 14615  [5748a337.3917:362] LOG:  checkpoint complete: wrote 853102 buffers (40.7%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=302.238 s, sync=0.190 s, total=302.442 s; sync files=57, longest=0.187 s, average=0.003 s; distance=6691629 kB, estimate=7919479 kB
1464441134.366 2016-05-28 13:12:14 UTC 14615  [5748a337.3917:363] LOG:  checkpoint starting: xlog
1464441416.688 2016-05-28 13:16:56 UTC 14615  [5748a337.3917:364] LOG:  checkpoint complete: wrote 758966 buffers (36.2%); 0 transaction log file(s) added, 50 removed, 359 recycled; write=281.914 s, sync=0.176 s, total=282.321 s; sync files=54, longest=0.173 s, average=0.003 s; distance=6701064 kB, estimate=7797637 kB
1464441591.882 2016-05-28 13:19:51 UTC 14615  [5748a337.3917:365] LOG:  checkpoint starting: xlog
1464441866.821 2016-05-28 13:24:26 UTC 14615  [5748a337.3917:366] LOG:  checkpoint complete: wrote 774532 buffers (36.9%); 0 transaction log file(s) added, 34 removed, 375 recycled; write=274.638 s, sync=0.080 s, total=274.938 s; sync files=53, longest=0.076 s, average=0.001 s; distance=6701057 kB, estimate=7687979 kB
1464442060.936 2016-05-28 13:27:40 UTC 14615  [5748a337.3917:367] LOG:  checkpoint starting: xlog
1464442112.394 2016-05-28 13:28:32 UTC 14615  [5748a337.3917:368] LOG:  checkpoint complete: wrote 790467 buffers (37.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=51.028 s, sync=0.002 s, total=51.457 s; sync files=52, longest=0.000 s, average=0.000 s; distance=6701056 kB, estimate=7589287 kB
1464442112.394 2016-05-28 13:28:32 UTC 14615  [5748a337.3917:369] LOG:  checkpoint starting: immediate force wait
1464442117.075 2016-05-28 13:28:37 UTC 14615  [5748a337.3917:370] LOG:  checkpoint complete: wrote 56496 buffers (2.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=4.076 s, sync=0.001 s, total=4.681 s; sync files=45, longest=0.000 s, average=0.000 s; distance=552620 kB, estimate=6885620 kB
1464442167.722 2016-05-28 13:29:27 UTC 14615  [5748a337.3917:371] LOG:  checkpoint starting: xlog
1464442208.744 2016-05-28 13:30:08 UTC 14615  [5748a337.3917:372] LOG:  checkpoint complete: wrote 204651 buffers (9.8%); 0 transaction log file(s) added, 0 removed, 33 recycled; write=40.878 s, sync=0.104 s, total=41.021 s; sync files=50, longest=0.028 s, average=0.002 s; distance=6692731 kB, estimate=6866331 kB
1464442382.579 2016-05-28 13:33:02 UTC 14615  [5748a337.3917:373] LOG:  checkpoint starting: xlog
1464442682.348 2016-05-28 13:38:02 UTC 14615  [5748a337.3917:374] LOG:  checkpoint complete: wrote 90394 buffers (4.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=299.466 s, sync=0.001 s, total=299.769 s; sync files=38, longest=0.000 s, average=0.000 s; distance=6697554 kB, estimate=6849453 kB
1464442982.458 2016-05-28 13:43:02 UTC 14615  [5748a337.3917:375] LOG:  checkpoint starting: time
1464443020.828 2016-05-28 13:43:40 UTC 14615  [5748a337.3917:376] LOG:  checkpoint complete: wrote 188572 buffers (9.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.848 s, sync=0.001 s, total=38.370 s; sync files=25, longest=0.000 s, average=0.000 s; distance=94527 kB, estimate=6173961 kB
1464443020.829 2016-05-28 13:43:40 UTC 14615  [5748a337.3917:377] LOG:  checkpoint starting: immediate force wait
1464443021.391 2016-05-28 13:43:41 UTC 14615  [5748a337.3917:378] LOG:  checkpoint complete: wrote 17611 buffers (0.8%); 0 transaction log file(s) added, 5 removed, 0 recycled; write=0.552 s, sync=0.001 s, total=0.562 s; sync files=7, longest=0.001 s, average=0.000 s; distance=0 kB, estimate=5556565 kB
1464443073.687 2016-05-28 13:44:33 UTC 14615  [5748a337.3917:379] LOG:  checkpoint starting: xlog
1464443437.795 2016-05-28 13:50:37 UTC 14615  [5748a337.3917:380] LOG:  checkpoint complete: wrote 602132 buffers (28.7%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=362.462 s, sync=1.622 s, total=364.108 s; sync files=57, longest=0.404 s, average=0.028 s; distance=6688339 kB, estimate=6688339 kB
1464443437.796 2016-05-28 13:50:37 UTC 14615  [5748a337.3917:381] LOG:  checkpoint starting: xlog
1464443817.598 2016-05-28 13:56:57 UTC 14615  [5748a337.3917:382] LOG:  checkpoint complete: wrote 1002087 buffers (47.8%); 0 transaction log file(s) added, 409 removed, 0 recycled; write=377.828 s, sync=1.937 s, total=379.802 s; sync files=54, longest=0.284 s, average=0.035 s; distance=20705498 kB, estimate=20705498 kB
1464443817.598 2016-05-28 13:56:57 UTC 14615  [5748a337.3917:383] LOG:  checkpoint starting: xlog
