1464536555.583 2016-05-29 15:42:35 UTC 11259  [574b0deb.2bfb:1] LOG:  database system was shut down at 2016-05-29 15:42:20 UTC
1464604576.752 2016-05-30 10:36:16 UTC 11260  [574b0deb.2bfc:627] LOG:  checkpoint starting: xlog
1464604615.423 2016-05-30 10:36:55 UTC 11260  [574b0deb.2bfc:628] LOG:  checkpoint complete: wrote 781151 buffers (37.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.361 s, sync=0.007 s, total=38.671 s; sync files=53, longest=0.003 s, average=0.000 s; distance=6700995 kB, estimate=6701028 kB
1464604649.496 2016-05-30 10:37:29 UTC 11260  [574b0deb.2bfc:629] LOG:  checkpoint starting: xlog
1464604694.554 2016-05-30 10:38:14 UTC 11260  [574b0deb.2bfc:630] LOG:  checkpoint complete: wrote 699939 buffers (33.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.644 s, sync=0.009 s, total=45.057 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701123 kB, estimate=6701123 kB
1464604728.628 2016-05-30 10:38:48 UTC 11260  [574b0deb.2bfc:631] LOG:  checkpoint starting: xlog
1464604772.995 2016-05-30 10:39:32 UTC 11260  [574b0deb.2bfc:632] LOG:  checkpoint complete: wrote 747189 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.995 s, sync=0.018 s, total=44.367 s; sync files=54, longest=0.013 s, average=0.000 s; distance=6701002 kB, estimate=6701111 kB
1464604806.814 2016-05-30 10:40:06 UTC 11260  [574b0deb.2bfc:633] LOG:  checkpoint starting: xlog
1464604857.698 2016-05-30 10:40:57 UTC 11260  [574b0deb.2bfc:634] LOG:  checkpoint complete: wrote 737213 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=50.551 s, sync=0.010 s, total=50.883 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701106 kB, estimate=6701110 kB
1464604892.613 2016-05-30 10:41:32 UTC 11260  [574b0deb.2bfc:635] LOG:  checkpoint starting: xlog
1464604936.792 2016-05-30 10:42:16 UTC 11260  [574b0deb.2bfc:636] LOG:  checkpoint complete: wrote 714168 buffers (34.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.777 s, sync=0.009 s, total=44.179 s; sync files=51, longest=0.004 s, average=0.000 s; distance=6701040 kB, estimate=6701103 kB
1464604971.278 2016-05-30 10:42:51 UTC 11260  [574b0deb.2bfc:637] LOG:  checkpoint starting: xlog
1464605012.725 2016-05-30 10:43:32 UTC 11260  [574b0deb.2bfc:638] LOG:  checkpoint complete: wrote 739649 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.921 s, sync=0.010 s, total=41.446 s; sync files=54, longest=0.006 s, average=0.000 s; distance=6701097 kB, estimate=6701102 kB
1464605047.501 2016-05-30 10:44:07 UTC 11260  [574b0deb.2bfc:639] LOG:  checkpoint starting: xlog
1464605092.098 2016-05-30 10:44:52 UTC 11260  [574b0deb.2bfc:640] LOG:  checkpoint complete: wrote 726901 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.180 s, sync=0.014 s, total=44.596 s; sync files=53, longest=0.007 s, average=0.000 s; distance=6701010 kB, estimate=6701093 kB
1464605126.757 2016-05-30 10:45:26 UTC 11260  [574b0deb.2bfc:641] LOG:  checkpoint starting: xlog
1464605170.799 2016-05-30 10:46:10 UTC 11260  [574b0deb.2bfc:642] LOG:  checkpoint complete: wrote 737174 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.624 s, sync=0.009 s, total=44.042 s; sync files=51, longest=0.003 s, average=0.000 s; distance=6701068 kB, estimate=6701091 kB
1464605205.646 2016-05-30 10:46:45 UTC 11260  [574b0deb.2bfc:643] LOG:  checkpoint starting: xlog
1464605252.199 2016-05-30 10:47:32 UTC 11260  [574b0deb.2bfc:644] LOG:  checkpoint complete: wrote 738837 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=46.144 s, sync=0.012 s, total=46.552 s; sync files=54, longest=0.008 s, average=0.000 s; distance=6701075 kB, estimate=6701089 kB
1464605287.225 2016-05-30 10:48:07 UTC 11260  [574b0deb.2bfc:645] LOG:  checkpoint starting: xlog
1464605327.673 2016-05-30 10:48:47 UTC 11260  [574b0deb.2bfc:646] LOG:  checkpoint complete: wrote 743693 buffers (35.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.992 s, sync=0.010 s, total=40.447 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701004 kB, estimate=6701081 kB
1464605363.972 2016-05-30 10:49:23 UTC 11260  [574b0deb.2bfc:647] LOG:  checkpoint starting: xlog
1464605405.624 2016-05-30 10:50:05 UTC 11260  [574b0deb.2bfc:648] LOG:  checkpoint complete: wrote 765908 buffers (36.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.091 s, sync=0.160 s, total=41.652 s; sync files=52, longest=0.092 s, average=0.003 s; distance=6701105 kB, estimate=6701105 kB
1464605439.776 2016-05-30 10:50:39 UTC 11260  [574b0deb.2bfc:649] LOG:  checkpoint starting: xlog
1464605484.846 2016-05-30 10:51:24 UTC 11260  [574b0deb.2bfc:650] LOG:  checkpoint complete: wrote 760620 buffers (36.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.654 s, sync=0.009 s, total=45.070 s; sync files=53, longest=0.006 s, average=0.000 s; distance=6701030 kB, estimate=6701098 kB
1464605519.871 2016-05-30 10:51:59 UTC 11260  [574b0deb.2bfc:651] LOG:  checkpoint starting: xlog
1464605564.276 2016-05-30 10:52:44 UTC 11260  [574b0deb.2bfc:652] LOG:  checkpoint complete: wrote 751878 buffers (35.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.963 s, sync=0.050 s, total=44.405 s; sync files=55, longest=0.039 s, average=0.000 s; distance=6701073 kB, estimate=6701095 kB
1464605600.084 2016-05-30 10:53:20 UTC 11260  [574b0deb.2bfc:653] LOG:  checkpoint starting: xlog
1464605645.601 2016-05-30 10:54:05 UTC 11260  [574b0deb.2bfc:654] LOG:  checkpoint complete: wrote 730557 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.871 s, sync=0.005 s, total=45.517 s; sync files=55, longest=0.002 s, average=0.000 s; distance=6701064 kB, estimate=6701092 kB
1464605680.898 2016-05-30 10:54:40 UTC 11260  [574b0deb.2bfc:655] LOG:  checkpoint starting: xlog
1464605721.537 2016-05-30 10:55:21 UTC 11260  [574b0deb.2bfc:656] LOG:  checkpoint complete: wrote 748292 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.160 s, sync=0.016 s, total=40.638 s; sync files=53, longest=0.007 s, average=0.000 s; distance=6701076 kB, estimate=6701090 kB
1464605756.347 2016-05-30 10:55:56 UTC 11260  [574b0deb.2bfc:657] LOG:  checkpoint starting: xlog
1464605800.399 2016-05-30 10:56:40 UTC 11260  [574b0deb.2bfc:658] LOG:  checkpoint complete: wrote 730655 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.638 s, sync=0.024 s, total=44.051 s; sync files=52, longest=0.012 s, average=0.000 s; distance=6701014 kB, estimate=6701083 kB
1464605835.922 2016-05-30 10:57:15 UTC 11260  [574b0deb.2bfc:659] LOG:  checkpoint starting: xlog
1464605877.444 2016-05-30 10:57:57 UTC 11260  [574b0deb.2bfc:660] LOG:  checkpoint complete: wrote 750579 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.143 s, sync=0.005 s, total=41.522 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701056 kB, estimate=6701080 kB
1464605912.438 2016-05-30 10:58:32 UTC 11260  [574b0deb.2bfc:661] LOG:  checkpoint starting: xlog
1464605957.481 2016-05-30 10:59:17 UTC 11260  [574b0deb.2bfc:662] LOG:  checkpoint complete: wrote 737179 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.630 s, sync=0.006 s, total=45.043 s; sync files=53, longest=0.003 s, average=0.000 s; distance=6701052 kB, estimate=6701077 kB
1464605992.778 2016-05-30 10:59:52 UTC 11260  [574b0deb.2bfc:663] LOG:  checkpoint starting: xlog
1464606036.244 2016-05-30 11:00:36 UTC 11260  [574b0deb.2bfc:664] LOG:  checkpoint complete: wrote 727533 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.047 s, sync=0.018 s, total=43.466 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701057 kB, estimate=6701075 kB
1464606071.964 2016-05-30 11:01:11 UTC 11260  [574b0deb.2bfc:665] LOG:  checkpoint starting: xlog
1464606116.112 2016-05-30 11:01:56 UTC 11260  [574b0deb.2bfc:666] LOG:  checkpoint complete: wrote 748429 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.783 s, sync=0.007 s, total=44.148 s; sync files=54, longest=0.001 s, average=0.000 s; distance=6701059 kB, estimate=6701074 kB
1464606151.009 2016-05-30 11:02:31 UTC 11260  [574b0deb.2bfc:667] LOG:  checkpoint starting: xlog
1464606176.728 2016-05-30 11:02:56 UTC 11260  [574b0deb.2bfc:668] LOG:  checkpoint complete: wrote 786916 buffers (37.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=25.202 s, sync=0.007 s, total=25.718 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701071 kB, estimate=6701073 kB
1464606176.728 2016-05-30 11:02:56 UTC 11260  [574b0deb.2bfc:669] LOG:  checkpoint starting: immediate force wait
1464606179.738 2016-05-30 11:02:59 UTC 11260  [574b0deb.2bfc:670] LOG:  checkpoint complete: wrote 82313 buffers (3.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=2.154 s, sync=0.011 s, total=3.009 s; sync files=50, longest=0.008 s, average=0.000 s; distance=785433 kB, estimate=6109509 kB
1464606194.512 2016-05-30 11:03:14 UTC 11260  [574b0deb.2bfc:671] LOG:  checkpoints are occurring too frequently (18 seconds apart)
1464606194.512 2016-05-30 11:03:14 UTC 11260  [574b0deb.2bfc:672] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464606194.512 2016-05-30 11:03:14 UTC 11260  [574b0deb.2bfc:673] LOG:  checkpoint starting: xlog
1464606239.115 2016-05-30 11:03:59 UTC 11260  [574b0deb.2bfc:674] LOG:  checkpoint complete: wrote 528242 buffers (25.2%); 0 transaction log file(s) added, 0 removed, 47 recycled; write=43.905 s, sync=0.615 s, total=44.602 s; sync files=49, longest=0.283 s, average=0.012 s; distance=6690469 kB, estimate=6690469 kB
1464606239.115 2016-05-30 11:03:59 UTC 11260  [574b0deb.2bfc:675] LOG:  checkpoint starting: xlog
1464606289.119 2016-05-30 11:04:49 UTC 11260  [574b0deb.2bfc:676] LOG:  checkpoint complete: wrote 543357 buffers (25.9%); 0 transaction log file(s) added, 202 removed, 207 recycled; write=49.670 s, sync=0.023 s, total=50.003 s; sync files=40, longest=0.004 s, average=0.000 s; distance=8111423 kB, estimate=8111423 kB
1464606297.927 2016-05-30 11:04:57 UTC 11260  [574b0deb.2bfc:677] LOG:  checkpoint starting: xlog
1464606336.741 2016-05-30 11:05:36 UTC 11260  [574b0deb.2bfc:678] LOG:  checkpoint complete: wrote 293328 buffers (14.0%); 0 transaction log file(s) added, 87 removed, 408 recycled; write=38.303 s, sync=0.020 s, total=38.814 s; sync files=38, longest=0.001 s, average=0.000 s; distance=6699754 kB, estimate=7970256 kB
1464606366.304 2016-05-30 11:06:06 UTC 11260  [574b0deb.2bfc:679] LOG:  checkpoint starting: xlog
1464606448.802 2016-05-30 11:07:28 UTC 11260  [574b0deb.2bfc:680] LOG:  checkpoint complete: wrote 143210 buffers (6.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=82.081 s, sync=0.005 s, total=82.498 s; sync files=38, longest=0.000 s, average=0.000 s; distance=6699708 kB, estimate=7843201 kB
1464606966.931 2016-05-30 11:16:06 UTC 11260  [574b0deb.2bfc:681] LOG:  checkpoint starting: time
1464607084.347 2016-05-30 11:18:04 UTC 11260  [574b0deb.2bfc:682] LOG:  checkpoint complete: wrote 264019 buffers (12.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=116.751 s, sync=0.000 s, total=117.415 s; sync files=38, longest=0.000 s, average=0.000 s; distance=4003485 kB, estimate=7459229 kB
1464607084.347 2016-05-30 11:18:04 UTC 11260  [574b0deb.2bfc:683] LOG:  checkpoint starting: immediate force wait
1464607086.852 2016-05-30 11:18:06 UTC 11260  [574b0deb.2bfc:684] LOG:  checkpoint complete: wrote 58218 buffers (2.8%); 0 transaction log file(s) added, 0 removed, 244 recycled; write=1.975 s, sync=0.001 s, total=2.505 s; sync files=7, longest=0.001 s, average=0.000 s; distance=0 kB, estimate=6713306 kB
1464607153.596 2016-05-30 11:19:13 UTC 11260  [574b0deb.2bfc:685] LOG:  checkpoint starting: xlog
1464607190.994 2016-05-30 11:19:50 UTC 11260  [574b0deb.2bfc:686] LOG:  checkpoint complete: wrote 817329 buffers (39.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=37.377 s, sync=0.002 s, total=37.397 s; sync files=58, longest=0.000 s, average=0.000 s; distance=6691774 kB, estimate=6711153 kB
1464607225.334 2016-05-30 11:20:25 UTC 11260  [574b0deb.2bfc:687] LOG:  checkpoint starting: xlog
1464607267.356 2016-05-30 11:21:07 UTC 11260  [574b0deb.2bfc:688] LOG:  checkpoint complete: wrote 716855 buffers (34.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.589 s, sync=0.012 s, total=42.022 s; sync files=53, longest=0.004 s, average=0.000 s; distance=6701059 kB, estimate=6710144 kB
1464607301.891 2016-05-30 11:21:41 UTC 11260  [574b0deb.2bfc:689] LOG:  checkpoint starting: xlog
1464607338.482 2016-05-30 11:22:18 UTC 11260  [574b0deb.2bfc:690] LOG:  checkpoint complete: wrote 776453 buffers (37.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.166 s, sync=0.008 s, total=36.590 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701141 kB, estimate=6709243 kB
1464607373.490 2016-05-30 11:22:53 UTC 11260  [574b0deb.2bfc:691] LOG:  checkpoint starting: xlog
1464607415.629 2016-05-30 11:23:35 UTC 11260  [574b0deb.2bfc:692] LOG:  checkpoint complete: wrote 693193 buffers (33.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.624 s, sync=0.009 s, total=42.138 s; sync files=56, longest=0.004 s, average=0.000 s; distance=6701011 kB, estimate=6708420 kB
1464607449.986 2016-05-30 11:24:09 UTC 11260  [574b0deb.2bfc:693] LOG:  checkpoint starting: xlog
1464607493.253 2016-05-30 11:24:53 UTC 11260  [574b0deb.2bfc:694] LOG:  checkpoint complete: wrote 726595 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.833 s, sync=0.012 s, total=43.267 s; sync files=55, longest=0.005 s, average=0.000 s; distance=6701094 kB, estimate=6707688 kB
1464607527.411 2016-05-30 11:25:27 UTC 11260  [574b0deb.2bfc:695] LOG:  checkpoint starting: xlog
1464607569.822 2016-05-30 11:26:09 UTC 11260  [574b0deb.2bfc:696] LOG:  checkpoint complete: wrote 739537 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.958 s, sync=0.012 s, total=42.411 s; sync files=54, longest=0.006 s, average=0.000 s; distance=6701025 kB, estimate=6707021 kB
1464607604.123 2016-05-30 11:26:44 UTC 11260  [574b0deb.2bfc:697] LOG:  checkpoint starting: xlog
1464607649.024 2016-05-30 11:27:29 UTC 11260  [574b0deb.2bfc:698] LOG:  checkpoint complete: wrote 705498 buffers (33.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.411 s, sync=0.002 s, total=44.901 s; sync files=52, longest=0.001 s, average=0.000 s; distance=6701088 kB, estimate=6706428 kB
1464607683.213 2016-05-30 11:28:03 UTC 11260  [574b0deb.2bfc:699] LOG:  checkpoint starting: xlog
1464607720.172 2016-05-30 11:28:40 UTC 11260  [574b0deb.2bfc:700] LOG:  checkpoint complete: wrote 736585 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.479 s, sync=0.006 s, total=36.959 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701017 kB, estimate=6705887 kB
1464607754.403 2016-05-30 11:29:14 UTC 11260  [574b0deb.2bfc:701] LOG:  checkpoint starting: xlog
1464607797.210 2016-05-30 11:29:57 UTC 11260  [574b0deb.2bfc:702] LOG:  checkpoint complete: wrote 727907 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.376 s, sync=0.012 s, total=42.807 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701095 kB, estimate=6705408 kB
1464607831.542 2016-05-30 11:30:31 UTC 11260  [574b0deb.2bfc:703] LOG:  checkpoint starting: xlog
1464607871.579 2016-05-30 11:31:11 UTC 11260  [574b0deb.2bfc:704] LOG:  checkpoint complete: wrote 736507 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.557 s, sync=0.008 s, total=40.037 s; sync files=55, longest=0.005 s, average=0.000 s; distance=6701063 kB, estimate=6704973 kB
1464607905.492 2016-05-30 11:31:45 UTC 11260  [574b0deb.2bfc:705] LOG:  checkpoint starting: xlog
1464607945.533 2016-05-30 11:32:25 UTC 11260  [574b0deb.2bfc:706] LOG:  checkpoint complete: wrote 749059 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.587 s, sync=0.011 s, total=40.040 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701016 kB, estimate=6704577 kB
1464607979.729 2016-05-30 11:32:59 UTC 11260  [574b0deb.2bfc:707] LOG:  checkpoint starting: xlog
1464608024.400 2016-05-30 11:33:44 UTC 11260  [574b0deb.2bfc:708] LOG:  checkpoint complete: wrote 727466 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=44.203 s, sync=0.009 s, total=44.671 s; sync files=50, longest=0.003 s, average=0.000 s; distance=6701046 kB, estimate=6704224 kB
1464608058.445 2016-05-30 11:34:18 UTC 11260  [574b0deb.2bfc:709] LOG:  checkpoint starting: xlog
1464608095.413 2016-05-30 11:34:55 UTC 11260  [574b0deb.2bfc:710] LOG:  checkpoint complete: wrote 745585 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.526 s, sync=0.013 s, total=36.967 s; sync files=54, longest=0.006 s, average=0.000 s; distance=6701037 kB, estimate=6703906 kB
1464608130.094 2016-05-30 11:35:30 UTC 11260  [574b0deb.2bfc:711] LOG:  checkpoint starting: xlog
1464608173.779 2016-05-30 11:36:13 UTC 11260  [574b0deb.2bfc:712] LOG:  checkpoint complete: wrote 730382 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=43.234 s, sync=0.013 s, total=43.684 s; sync files=54, longest=0.007 s, average=0.000 s; distance=6701088 kB, estimate=6703624 kB
1464608207.406 2016-05-30 11:36:47 UTC 11260  [574b0deb.2bfc:713] LOG:  checkpoint starting: xlog
1464608249.020 2016-05-30 11:37:29 UTC 11260  [574b0deb.2bfc:714] LOG:  checkpoint complete: wrote 747542 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.168 s, sync=0.012 s, total=41.613 s; sync files=52, longest=0.010 s, average=0.000 s; distance=6701033 kB, estimate=6703365 kB
1464608283.343 2016-05-30 11:38:03 UTC 11260  [574b0deb.2bfc:715] LOG:  checkpoint starting: xlog
1464608323.945 2016-05-30 11:38:43 UTC 11260  [574b0deb.2bfc:716] LOG:  checkpoint complete: wrote 735224 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.128 s, sync=0.004 s, total=40.601 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701018 kB, estimate=6703130 kB
1464608358.404 2016-05-30 11:39:18 UTC 11260  [574b0deb.2bfc:717] LOG:  checkpoint starting: xlog
1464608401.146 2016-05-30 11:40:01 UTC 11260  [574b0deb.2bfc:718] LOG:  checkpoint complete: wrote 735872 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.317 s, sync=0.006 s, total=42.742 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701245 kB, estimate=6702942 kB
1464608435.162 2016-05-30 11:40:35 UTC 11260  [574b0deb.2bfc:719] LOG:  checkpoint starting: xlog
1464608474.439 2016-05-30 11:41:14 UTC 11260  [574b0deb.2bfc:720] LOG:  checkpoint complete: wrote 745958 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.858 s, sync=0.007 s, total=39.277 s; sync files=53, longest=0.004 s, average=0.000 s; distance=6700872 kB, estimate=6702735 kB
1464608508.684 2016-05-30 11:41:48 UTC 11260  [574b0deb.2bfc:721] LOG:  checkpoint starting: xlog
1464608551.159 2016-05-30 11:42:31 UTC 11260  [574b0deb.2bfc:722] LOG:  checkpoint complete: wrote 728203 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.989 s, sync=0.009 s, total=42.474 s; sync files=49, longest=0.005 s, average=0.000 s; distance=6701103 kB, estimate=6702571 kB
1464608584.817 2016-05-30 11:43:04 UTC 11260  [574b0deb.2bfc:723] LOG:  checkpoint starting: xlog
1464608624.281 2016-05-30 11:43:44 UTC 11260  [574b0deb.2bfc:724] LOG:  checkpoint complete: wrote 766925 buffers (36.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.940 s, sync=0.015 s, total=39.464 s; sync files=55, longest=0.006 s, average=0.000 s; distance=6701026 kB, estimate=6702417 kB
1464608658.154 2016-05-30 11:44:18 UTC 11260  [574b0deb.2bfc:725] LOG:  checkpoint starting: xlog
1464608698.764 2016-05-30 11:44:58 UTC 11260  [574b0deb.2bfc:726] LOG:  checkpoint complete: wrote 781573 buffers (37.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.129 s, sync=0.001 s, total=40.609 s; sync files=54, longest=0.000 s, average=0.000 s; distance=6701157 kB, estimate=6702291 kB
1464608732.960 2016-05-30 11:45:32 UTC 11260  [574b0deb.2bfc:727] LOG:  checkpoint starting: xlog
1464608774.600 2016-05-30 11:46:14 UTC 11260  [574b0deb.2bfc:728] LOG:  checkpoint complete: wrote 747141 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.173 s, sync=0.007 s, total=41.639 s; sync files=51, longest=0.004 s, average=0.000 s; distance=6700994 kB, estimate=6702161 kB
1464608809.135 2016-05-30 11:46:49 UTC 11260  [574b0deb.2bfc:729] LOG:  checkpoint starting: xlog
1464608849.694 2016-05-30 11:47:29 UTC 11260  [574b0deb.2bfc:730] LOG:  checkpoint complete: wrote 723868 buffers (34.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.070 s, sync=0.009 s, total=40.559 s; sync files=51, longest=0.003 s, average=0.000 s; distance=6701054 kB, estimate=6702050 kB
1464608884.103 2016-05-30 11:48:04 UTC 11260  [574b0deb.2bfc:731] LOG:  checkpoint starting: xlog
1464608887.363 2016-05-30 11:48:07 UTC 55366  [574c2875.d846:1] FATAL:  terminating autovacuum process due to administrator command
1464608889.017 2016-05-30 11:48:09 UTC 11260  [574b0deb.2bfc:732] LOG:  checkpoint complete: wrote 50699 buffers (2.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=4.421 s, sync=0.000 s, total=4.914 s; sync files=0, longest=0.000 s, average=0.000 s; distance=6701028 kB, estimate=6701948 kB
1464608889.018 2016-05-30 11:48:09 UTC 11260  [574b0deb.2bfc:733] LOG:  checkpoint starting: immediate force wait
1464608890.038 2016-05-30 11:48:10 UTC 11260  [574b0deb.2bfc:734] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 transaction log file(s) added, 6 removed, 403 recycled; write=0.069 s, sync=0.000 s, total=1.020 s; sync files=2, longest=0.000 s, average=0.000 s; distance=217289 kB, estimate=6053482 kB
1464608896.591 2016-05-30 11:48:16 UTC 11260  [574b0deb.2bfc:735] LOG:  checkpoint starting: immediate force wait flush-all
1464608896.766 2016-05-30 11:48:16 UTC 11260  [574b0deb.2bfc:736] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 13 removed, 0 recycled; write=0.063 s, sync=0.000 s, total=0.175 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=5448134 kB
1464608896.839 2016-05-30 11:48:16 UTC 11260  [574b0deb.2bfc:737] LOG:  checkpoint starting: immediate force wait
1464608896.904 2016-05-30 11:48:16 UTC 11260  [574b0deb.2bfc:738] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.063 s, sync=0.000 s, total=0.065 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=4903321 kB
1464609496.108 2016-05-30 11:58:16 UTC 11260  [574b0deb.2bfc:739] LOG:  checkpoint starting: time
1464609796.070 2016-05-30 12:03:16 UTC 11260  [574b0deb.2bfc:740] LOG:  checkpoint complete: wrote 2078 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.947 s, sync=0.009 s, total=299.961 s; sync files=105, longest=0.006 s, average=0.000 s; distance=27005 kB, estimate=4415689 kB
1464614297.441 2016-05-30 13:18:17 UTC 11260  [574b0deb.2bfc:741] LOG:  checkpoint starting: time
1464614597.288 2016-05-30 13:23:17 UTC 11260  [574b0deb.2bfc:742] LOG:  checkpoint complete: wrote 6058 buffers (0.3%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=299.455 s, sync=0.031 s, total=299.853 s; sync files=450, longest=0.012 s, average=0.000 s; distance=909651 kB, estimate=4065085 kB
1464614897.932 2016-05-30 13:28:17 UTC 11260  [574b0deb.2bfc:743] LOG:  checkpoint starting: time
1464615197.251 2016-05-30 13:33:17 UTC 11260  [574b0deb.2bfc:744] LOG:  checkpoint complete: wrote 7032 buffers (0.3%); 0 transaction log file(s) added, 56 removed, 0 recycled; write=299.088 s, sync=0.010 s, total=299.319 s; sync files=195, longest=0.002 s, average=0.000 s; distance=1601389 kB, estimate=3818716 kB
1464615497.216 2016-05-30 13:38:17 UTC 11260  [574b0deb.2bfc:745] LOG:  checkpoint starting: time
1464615797.665 2016-05-30 13:43:17 UTC 11260  [574b0deb.2bfc:746] LOG:  checkpoint complete: wrote 6913 buffers (0.3%); 0 transaction log file(s) added, 98 removed, 0 recycled; write=299.531 s, sync=0.120 s, total=300.449 s; sync files=65, longest=0.118 s, average=0.001 s; distance=1099943 kB, estimate=3546839 kB
1464618153.211 2016-05-30 14:22:33 UTC 11263  [574b0deb.2bff:2] LOG:  using stale statistics instead of current ones because stats collector is not responding
1464618243.245 2016-05-30 14:24:03 UTC 11263  [574b0deb.2bff:3] LOG:  using stale statistics instead of current ones because stats collector is not responding
1464618253.353 2016-05-30 14:24:13 UTC 59361  [574c4d03.e7e1:1] LOG:  using stale statistics instead of current ones because stats collector is not responding
1464618274.480 2016-05-30 14:24:34 UTC 59367  [574c4d18.e7e7:1] LOG:  using stale statistics instead of current ones because stats collector is not responding
1464618483.302 2016-05-30 14:28:03 UTC 11263  [574b0deb.2bff:4] LOG:  using stale statistics instead of current ones because stats collector is not responding
1464618498.167 2016-05-30 14:28:18 UTC 11260  [574b0deb.2bfc:747] LOG:  checkpoint starting: time
1464618501.961 2016-05-30 14:28:21 UTC 11260  [574b0deb.2bfc:748] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 transaction log file(s) added, 67 removed, 0 recycled; write=0.258 s, sync=0.009 s, total=3.794 s; sync files=7, longest=0.008 s, average=0.001 s; distance=12 kB, estimate=3192156 kB
