1464698282.799 2016-05-31 12:38:02 UTC 3336  [574d85aa.d08:1] LOG:  database system was shut down at 2016-05-31 12:37:50 UTC
1464766194.731 2016-06-01 07:29:54 UTC 3337  [574d85aa.d09:653] LOG:  checkpoint starting: xlog
1464766231.052 2016-06-01 07:30:31 UTC 3337  [574d85aa.d09:654] LOG:  checkpoint complete: wrote 819355 buffers (39.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=36.298 s, sync=0.005 s, total=36.320 s; sync files=56, longest=0.002 s, average=0.000 s; distance=6700493 kB, estimate=6700493 kB
1464766265.634 2016-06-01 07:31:05 UTC 3337  [574d85aa.d09:655] LOG:  checkpoint starting: xlog
1464766307.768 2016-06-01 07:31:47 UTC 3337  [574d85aa.d09:656] LOG:  checkpoint complete: wrote 720165 buffers (34.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.818 s, sync=0.006 s, total=42.134 s; sync files=54, longest=0.003 s, average=0.000 s; distance=6701088 kB, estimate=6701088 kB
1464766342.727 2016-06-01 07:32:22 UTC 3337  [574d85aa.d09:657] LOG:  checkpoint starting: xlog
1464766382.079 2016-06-01 07:33:02 UTC 3337  [574d85aa.d09:658] LOG:  checkpoint complete: wrote 779873 buffers (37.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.950 s, sync=0.008 s, total=39.352 s; sync files=53, longest=0.004 s, average=0.000 s; distance=6701037 kB, estimate=6701082 kB
1464766417.131 2016-06-01 07:33:37 UTC 3337  [574d85aa.d09:659] LOG:  checkpoint starting: xlog
1464766456.870 2016-06-01 07:34:16 UTC 3337  [574d85aa.d09:660] LOG:  checkpoint complete: wrote 695017 buffers (33.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.337 s, sync=0.029 s, total=39.738 s; sync files=51, longest=0.023 s, average=0.000 s; distance=6701057 kB, estimate=6701080 kB
1464766491.604 2016-06-01 07:34:51 UTC 3337  [574d85aa.d09:661] LOG:  checkpoint starting: xlog
1464766530.633 2016-06-01 07:35:30 UTC 3337  [574d85aa.d09:662] LOG:  checkpoint complete: wrote 734889 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.632 s, sync=0.014 s, total=39.028 s; sync files=52, longest=0.007 s, average=0.000 s; distance=6701054 kB, estimate=6701077 kB
1464766562.563 2016-06-01 07:36:02 UTC 3337  [574d85aa.d09:663] LOG:  checkpoint starting: xlog
1464766602.191 2016-06-01 07:36:42 UTC 3337  [574d85aa.d09:664] LOG:  checkpoint complete: wrote 768652 buffers (36.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.265 s, sync=0.009 s, total=39.627 s; sync files=54, longest=0.005 s, average=0.000 s; distance=6701016 kB, estimate=6701071 kB
1464766638.111 2016-06-01 07:37:18 UTC 3337  [574d85aa.d09:665] LOG:  checkpoint starting: xlog
1464766679.083 2016-06-01 07:37:59 UTC 3337  [574d85aa.d09:666] LOG:  checkpoint complete: wrote 724240 buffers (34.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.573 s, sync=0.010 s, total=40.971 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701110 kB, estimate=6701110 kB
1464766714.302 2016-06-01 07:38:34 UTC 3337  [574d85aa.d09:667] LOG:  checkpoint starting: xlog
1464766754.309 2016-06-01 07:39:14 UTC 3337  [574d85aa.d09:668] LOG:  checkpoint complete: wrote 751088 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.620 s, sync=0.003 s, total=40.007 s; sync files=53, longest=0.001 s, average=0.000 s; distance=6701061 kB, estimate=6701105 kB
1464766789.896 2016-06-01 07:39:49 UTC 3337  [574d85aa.d09:669] LOG:  checkpoint starting: xlog
1464766828.975 2016-06-01 07:40:28 UTC 3337  [574d85aa.d09:670] LOG:  checkpoint complete: wrote 724997 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.647 s, sync=0.007 s, total=39.079 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701077 kB, estimate=6701102 kB
1464766864.908 2016-06-01 07:41:04 UTC 3337  [574d85aa.d09:671] LOG:  checkpoint starting: xlog
1464766908.070 2016-06-01 07:41:48 UTC 3337  [574d85aa.d09:672] LOG:  checkpoint complete: wrote 739846 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=42.778 s, sync=0.006 s, total=43.162 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701035 kB, estimate=6701095 kB
1464766942.483 2016-06-01 07:42:22 UTC 3337  [574d85aa.d09:673] LOG:  checkpoint starting: xlog
1464766982.377 2016-06-01 07:43:02 UTC 3337  [574d85aa.d09:674] LOG:  checkpoint complete: wrote 747391 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.498 s, sync=0.008 s, total=39.893 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701035 kB, estimate=6701089 kB
1464767018.015 2016-06-01 07:43:38 UTC 3337  [574d85aa.d09:675] LOG:  checkpoint starting: xlog
1464767059.617 2016-06-01 07:44:19 UTC 3337  [574d85aa.d09:676] LOG:  checkpoint complete: wrote 730400 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.253 s, sync=0.009 s, total=41.602 s; sync files=51, longest=0.005 s, average=0.000 s; distance=6701081 kB, estimate=6701089 kB
1464767094.306 2016-06-01 07:44:54 UTC 3337  [574d85aa.d09:677] LOG:  checkpoint starting: xlog
1464767133.867 2016-06-01 07:45:33 UTC 3337  [574d85aa.d09:678] LOG:  checkpoint complete: wrote 747537 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.193 s, sync=0.005 s, total=39.560 s; sync files=54, longest=0.002 s, average=0.000 s; distance=6701014 kB, estimate=6701081 kB
1464767169.997 2016-06-01 07:46:09 UTC 3337  [574d85aa.d09:679] LOG:  checkpoint starting: xlog
1464767210.968 2016-06-01 07:46:50 UTC 3337  [574d85aa.d09:680] LOG:  checkpoint complete: wrote 728978 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.615 s, sync=0.005 s, total=40.971 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701086 kB, estimate=6701086 kB
1464767245.147 2016-06-01 07:47:25 UTC 3337  [574d85aa.d09:681] LOG:  checkpoint starting: xlog
1464767283.676 2016-06-01 07:48:03 UTC 3337  [574d85aa.d09:682] LOG:  checkpoint complete: wrote 747766 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.195 s, sync=0.006 s, total=38.528 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701041 kB, estimate=6701081 kB
1464767319.725 2016-06-01 07:48:39 UTC 3337  [574d85aa.d09:683] LOG:  checkpoint starting: xlog
1464767360.965 2016-06-01 07:49:20 UTC 3337  [574d85aa.d09:684] LOG:  checkpoint complete: wrote 738433 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.886 s, sync=0.008 s, total=41.240 s; sync files=51, longest=0.006 s, average=0.000 s; distance=6701025 kB, estimate=6701076 kB
1464767396.662 2016-06-01 07:49:56 UTC 3337  [574d85aa.d09:685] LOG:  checkpoint starting: xlog
1464767436.318 2016-06-01 07:50:36 UTC 3337  [574d85aa.d09:686] LOG:  checkpoint complete: wrote 736032 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.338 s, sync=0.009 s, total=39.656 s; sync files=54, longest=0.006 s, average=0.000 s; distance=6701047 kB, estimate=6701073 kB
1464767471.363 2016-06-01 07:51:11 UTC 3337  [574d85aa.d09:687] LOG:  checkpoint starting: xlog
1464767511.458 2016-06-01 07:51:51 UTC 3337  [574d85aa.d09:688] LOG:  checkpoint complete: wrote 747086 buffers (35.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.775 s, sync=0.003 s, total=40.094 s; sync files=56, longest=0.001 s, average=0.000 s; distance=6701070 kB, estimate=6701072 kB
1464767547.396 2016-06-01 07:52:27 UTC 3337  [574d85aa.d09:689] LOG:  checkpoint starting: xlog
1464767586.815 2016-06-01 07:53:06 UTC 3337  [574d85aa.d09:690] LOG:  checkpoint complete: wrote 732595 buffers (34.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.058 s, sync=0.007 s, total=39.419 s; sync files=53, longest=0.002 s, average=0.000 s; distance=6701018 kB, estimate=6701067 kB
1464767619.701 2016-06-01 07:53:39 UTC 3337  [574d85aa.d09:691] LOG:  checkpoint starting: xlog
1464767661.507 2016-06-01 07:54:21 UTC 3337  [574d85aa.d09:692] LOG:  checkpoint complete: wrote 754765 buffers (36.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.456 s, sync=0.004 s, total=41.806 s; sync files=53, longest=0.003 s, average=0.000 s; distance=6701122 kB, estimate=6701122 kB
1464767697.058 2016-06-01 07:54:57 UTC 3337  [574d85aa.d09:693] LOG:  checkpoint starting: xlog
1464767738.292 2016-06-01 07:55:38 UTC 3337  [574d85aa.d09:694] LOG:  checkpoint complete: wrote 735811 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=40.829 s, sync=0.006 s, total=41.233 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701059 kB, estimate=6701116 kB
1464767774.539 2016-06-01 07:56:14 UTC 3337  [574d85aa.d09:695] LOG:  checkpoint starting: xlog
1464767813.031 2016-06-01 07:56:53 UTC 3337  [574d85aa.d09:696] LOG:  checkpoint complete: wrote 728403 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.127 s, sync=0.014 s, total=38.491 s; sync files=54, longest=0.010 s, average=0.000 s; distance=6701047 kB, estimate=6701109 kB
1464767847.662 2016-06-01 07:57:27 UTC 3337  [574d85aa.d09:697] LOG:  checkpoint starting: xlog
1464767887.739 2016-06-01 07:58:07 UTC 3337  [574d85aa.d09:698] LOG:  checkpoint complete: wrote 750417 buffers (35.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.696 s, sync=0.005 s, total=40.076 s; sync files=53, longest=0.002 s, average=0.000 s; distance=6701037 kB, estimate=6701102 kB
1464767923.910 2016-06-01 07:58:43 UTC 3337  [574d85aa.d09:699] LOG:  checkpoint starting: xlog
1464767946.419 2016-06-01 07:59:06 UTC 3337  [574d85aa.d09:700] LOG:  checkpoint complete: wrote 789417 buffers (37.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=22.084 s, sync=0.002 s, total=22.509 s; sync files=52, longest=0.000 s, average=0.000 s; distance=6701066 kB, estimate=6701098 kB
1464767946.420 2016-06-01 07:59:06 UTC 3337  [574d85aa.d09:701] LOG:  checkpoint starting: immediate force wait
1464767947.980 2016-06-01 07:59:07 UTC 3337  [574d85aa.d09:702] LOG:  checkpoint complete: wrote 34892 buffers (1.7%); 0 transaction log file(s) added, 5 removed, 404 recycled; write=0.953 s, sync=0.002 s, total=1.560 s; sync files=50, longest=0.002 s, average=0.000 s; distance=320668 kB, estimate=6063055 kB
1464767963.715 2016-06-01 07:59:23 UTC 3337  [574d85aa.d09:703] LOG:  checkpoints are occurring too frequently (17 seconds apart)
1464767963.715 2016-06-01 07:59:23 UTC 3337  [574d85aa.d09:704] HINT:  Consider increasing the configuration parameter "max_wal_size".
1464767963.715 2016-06-01 07:59:23 UTC 3337  [574d85aa.d09:705] LOG:  checkpoint starting: xlog
1464767994.673 2016-06-01 07:59:54 UTC 3337  [574d85aa.d09:706] LOG:  checkpoint complete: wrote 544616 buffers (26.0%); 0 transaction log file(s) added, 0 removed, 19 recycled; write=30.829 s, sync=0.025 s, total=30.957 s; sync files=49, longest=0.003 s, average=0.000 s; distance=6693484 kB, estimate=6693484 kB
1464767994.674 2016-06-01 07:59:54 UTC 3337  [574d85aa.d09:707] LOG:  checkpoint starting: xlog
1464768028.513 2016-06-01 08:00:28 UTC 3337  [574d85aa.d09:708] LOG:  checkpoint complete: wrote 503710 buffers (24.0%); 0 transaction log file(s) added, 200 removed, 209 recycled; write=33.553 s, sync=0.020 s, total=33.839 s; sync files=39, longest=0.003 s, average=0.000 s; distance=7924555 kB, estimate=7924555 kB
1464768034.284 2016-06-01 08:00:34 UTC 3337  [574d85aa.d09:709] LOG:  checkpoint starting: xlog
1464768062.389 2016-06-01 08:01:02 UTC 3337  [574d85aa.d09:710] LOG:  checkpoint complete: wrote 328218 buffers (15.7%); 0 transaction log file(s) added, 81 removed, 402 recycled; write=27.602 s, sync=0.013 s, total=28.105 s; sync files=38, longest=0.001 s, average=0.000 s; distance=6691641 kB, estimate=7801263 kB
1464768090.625 2016-06-01 08:01:30 UTC 3337  [574d85aa.d09:711] LOG:  checkpoint starting: xlog
1464768166.309 2016-06-01 08:02:46 UTC 3337  [574d85aa.d09:712] LOG:  checkpoint complete: wrote 154878 buffers (7.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=75.231 s, sync=0.004 s, total=75.684 s; sync files=38, longest=0.002 s, average=0.000 s; distance=6701440 kB, estimate=7691281 kB
1464768690.441 2016-06-01 08:11:30 UTC 3337  [574d85aa.d09:713] LOG:  checkpoint starting: time
1464768852.398 2016-06-01 08:14:12 UTC 3337  [574d85aa.d09:714] LOG:  checkpoint complete: wrote 242137 buffers (11.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=161.513 s, sync=0.002 s, total=161.957 s; sync files=38, longest=0.000 s, average=0.000 s; distance=4278910 kB, estimate=7350044 kB
1464768852.399 2016-06-01 08:14:12 UTC 3337  [574d85aa.d09:715] LOG:  checkpoint starting: immediate force wait
1464768854.404 2016-06-01 08:14:14 UTC 3337  [574d85aa.d09:716] LOG:  checkpoint complete: wrote 75443 buffers (3.6%); 0 transaction log file(s) added, 0 removed, 261 recycled; write=1.638 s, sync=0.001 s, total=2.005 s; sync files=7, longest=0.000 s, average=0.000 s; distance=7 kB, estimate=6615040 kB
1464768922.563 2016-06-01 08:15:22 UTC 3337  [574d85aa.d09:717] LOG:  checkpoint starting: xlog
1464768958.725 2016-06-01 08:15:58 UTC 3337  [574d85aa.d09:718] LOG:  checkpoint complete: wrote 816846 buffers (39.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=36.136 s, sync=0.004 s, total=36.161 s; sync files=55, longest=0.001 s, average=0.000 s; distance=6694592 kB, estimate=6694592 kB
1464768993.773 2016-06-01 08:16:33 UTC 3337  [574d85aa.d09:719] LOG:  checkpoint starting: xlog
1464769032.311 2016-06-01 08:17:12 UTC 3337  [574d85aa.d09:720] LOG:  checkpoint complete: wrote 721608 buffers (34.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.215 s, sync=0.009 s, total=38.537 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701049 kB, estimate=6701049 kB
1464769067.206 2016-06-01 08:17:47 UTC 3337  [574d85aa.d09:721] LOG:  checkpoint starting: xlog
1464769102.421 2016-06-01 08:18:22 UTC 3337  [574d85aa.d09:722] LOG:  checkpoint complete: wrote 773417 buffers (36.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=34.866 s, sync=0.004 s, total=35.215 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701011 kB, estimate=6701045 kB
1464769137.622 2016-06-01 08:18:57 UTC 3337  [574d85aa.d09:723] LOG:  checkpoint starting: xlog
1464769177.955 2016-06-01 08:19:37 UTC 3337  [574d85aa.d09:724] LOG:  checkpoint complete: wrote 693663 buffers (33.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.892 s, sync=0.008 s, total=40.332 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701095 kB, estimate=6701095 kB
1464769212.736 2016-06-01 08:20:12 UTC 3337  [574d85aa.d09:725] LOG:  checkpoint starting: xlog
1464769250.647 2016-06-01 08:20:50 UTC 3337  [574d85aa.d09:726] LOG:  checkpoint complete: wrote 726074 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.538 s, sync=0.005 s, total=37.911 s; sync files=52, longest=0.003 s, average=0.000 s; distance=6701023 kB, estimate=6701088 kB
1464769285.347 2016-06-01 08:21:25 UTC 3337  [574d85aa.d09:727] LOG:  checkpoint starting: xlog
1464769323.148 2016-06-01 08:22:03 UTC 3337  [574d85aa.d09:728] LOG:  checkpoint complete: wrote 737108 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.370 s, sync=0.009 s, total=37.801 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701052 kB, estimate=6701084 kB
1464769357.902 2016-06-01 08:22:37 UTC 3337  [574d85aa.d09:729] LOG:  checkpoint starting: xlog
1464769398.114 2016-06-01 08:23:18 UTC 3337  [574d85aa.d09:730] LOG:  checkpoint complete: wrote 706468 buffers (33.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.819 s, sync=0.007 s, total=40.212 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701141 kB, estimate=6701141 kB
1464769433.299 2016-06-01 08:23:53 UTC 3337  [574d85aa.d09:731] LOG:  checkpoint starting: xlog
1464769471.291 2016-06-01 08:24:31 UTC 3337  [574d85aa.d09:732] LOG:  checkpoint complete: wrote 733451 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.551 s, sync=0.008 s, total=37.992 s; sync files=51, longest=0.005 s, average=0.000 s; distance=6701051 kB, estimate=6701132 kB
1464769506.488 2016-06-01 08:25:06 UTC 3337  [574d85aa.d09:733] LOG:  checkpoint starting: xlog
1464769546.807 2016-06-01 08:25:46 UTC 3337  [574d85aa.d09:734] LOG:  checkpoint complete: wrote 726834 buffers (34.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.905 s, sync=0.025 s, total=40.318 s; sync files=52, longest=0.013 s, average=0.000 s; distance=6701000 kB, estimate=6701119 kB
1464769581.502 2016-06-01 08:26:21 UTC 3337  [574d85aa.d09:735] LOG:  checkpoint starting: xlog
1464769617.906 2016-06-01 08:26:57 UTC 3337  [574d85aa.d09:736] LOG:  checkpoint complete: wrote 736727 buffers (35.1%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.022 s, sync=0.001 s, total=36.403 s; sync files=54, longest=0.000 s, average=0.000 s; distance=6701003 kB, estimate=6701108 kB
1464769653.106 2016-06-01 08:27:33 UTC 3337  [574d85aa.d09:737] LOG:  checkpoint starting: xlog
1464769692.939 2016-06-01 08:28:12 UTC 3337  [574d85aa.d09:738] LOG:  checkpoint complete: wrote 742004 buffers (35.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.473 s, sync=0.006 s, total=39.832 s; sync files=52, longest=0.002 s, average=0.000 s; distance=6701148 kB, estimate=6701148 kB
1464769726.373 2016-06-01 08:28:46 UTC 3337  [574d85aa.d09:739] LOG:  checkpoint starting: xlog
1464769761.375 2016-06-01 08:29:21 UTC 3337  [574d85aa.d09:740] LOG:  checkpoint complete: wrote 761051 buffers (36.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=34.600 s, sync=0.012 s, total=35.001 s; sync files=51, longest=0.002 s, average=0.000 s; distance=6700994 kB, estimate=6701133 kB
1464769795.168 2016-06-01 08:29:55 UTC 3337  [574d85aa.d09:741] LOG:  checkpoint starting: xlog
1464769832.265 2016-06-01 08:30:32 UTC 3337  [574d85aa.d09:742] LOG:  checkpoint complete: wrote 782515 buffers (37.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.694 s, sync=0.008 s, total=37.096 s; sync files=53, longest=0.004 s, average=0.000 s; distance=6701071 kB, estimate=6701126 kB
1464769867.393 2016-06-01 08:31:07 UTC 3337  [574d85aa.d09:743] LOG:  checkpoint starting: xlog
1464769909.242 2016-06-01 08:31:49 UTC 3337  [574d85aa.d09:744] LOG:  checkpoint complete: wrote 748857 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=41.490 s, sync=0.006 s, total=41.848 s; sync files=52, longest=0.005 s, average=0.000 s; distance=6701118 kB, estimate=6701126 kB
1464769943.974 2016-06-01 08:32:23 UTC 3337  [574d85aa.d09:745] LOG:  checkpoint starting: xlog
1464769982.691 2016-06-01 08:33:02 UTC 3337  [574d85aa.d09:746] LOG:  checkpoint complete: wrote 741067 buffers (35.3%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.345 s, sync=0.007 s, total=38.716 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701011 kB, estimate=6701114 kB
1464770017.539 2016-06-01 08:33:37 UTC 3337  [574d85aa.d09:747] LOG:  checkpoint starting: xlog
1464770055.659 2016-06-01 08:34:15 UTC 3337  [574d85aa.d09:748] LOG:  checkpoint complete: wrote 739219 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.753 s, sync=0.009 s, total=38.120 s; sync files=76, longest=0.006 s, average=0.000 s; distance=6700957 kB, estimate=6701098 kB
1464770090.916 2016-06-01 08:34:50 UTC 3337  [574d85aa.d09:749] LOG:  checkpoint starting: xlog
1464770129.299 2016-06-01 08:35:29 UTC 3337  [574d85aa.d09:750] LOG:  checkpoint complete: wrote 724589 buffers (34.6%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.957 s, sync=0.010 s, total=38.382 s; sync files=49, longest=0.006 s, average=0.000 s; distance=6701165 kB, estimate=6701165 kB
1464770163.709 2016-06-01 08:36:03 UTC 3337  [574d85aa.d09:751] LOG:  checkpoint starting: xlog
1464770200.232 2016-06-01 08:36:40 UTC 3337  [574d85aa.d09:752] LOG:  checkpoint complete: wrote 749341 buffers (35.7%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=36.099 s, sync=0.005 s, total=36.523 s; sync files=51, longest=0.001 s, average=0.000 s; distance=6701140 kB, estimate=6701163 kB
1464770235.071 2016-06-01 08:37:15 UTC 3337  [574d85aa.d09:753] LOG:  checkpoint starting: xlog
1464770273.358 2016-06-01 08:37:53 UTC 3337  [574d85aa.d09:754] LOG:  checkpoint complete: wrote 729309 buffers (34.8%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.023 s, sync=0.003 s, total=38.287 s; sync files=51, longest=0.003 s, average=0.000 s; distance=6700953 kB, estimate=6701142 kB
1464770308.393 2016-06-01 08:38:28 UTC 3337  [574d85aa.d09:755] LOG:  checkpoint starting: xlog
1464770348.274 2016-06-01 08:39:08 UTC 3337  [574d85aa.d09:756] LOG:  checkpoint complete: wrote 738708 buffers (35.2%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.497 s, sync=0.005 s, total=39.881 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701039 kB, estimate=6701131 kB
1464770382.927 2016-06-01 08:39:42 UTC 3337  [574d85aa.d09:757] LOG:  checkpoint starting: xlog
1464770423.152 2016-06-01 08:40:23 UTC 3337  [574d85aa.d09:758] LOG:  checkpoint complete: wrote 743380 buffers (35.4%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=39.934 s, sync=0.006 s, total=40.224 s; sync files=51, longest=0.004 s, average=0.000 s; distance=6701105 kB, estimate=6701129 kB
1464770458.635 2016-06-01 08:40:58 UTC 3337  [574d85aa.d09:759] LOG:  checkpoint starting: xlog
1464770497.401 2016-06-01 08:41:37 UTC 3337  [574d85aa.d09:760] LOG:  checkpoint complete: wrote 723780 buffers (34.5%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=38.358 s, sync=0.008 s, total=38.766 s; sync files=49, longest=0.006 s, average=0.000 s; distance=6701060 kB, estimate=6701122 kB
1464770532.530 2016-06-01 08:42:12 UTC 3337  [574d85aa.d09:761] LOG:  checkpoint starting: xlog
1464770568.544 2016-06-01 08:42:48 UTC 3337  [574d85aa.d09:762] LOG:  checkpoint complete: wrote 733354 buffers (35.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=35.581 s, sync=0.015 s, total=36.014 s; sync files=52, longest=0.006 s, average=0.000 s; distance=6701017 kB, estimate=6701112 kB
1464770602.872 2016-06-01 08:43:22 UTC 3337  [574d85aa.d09:763] LOG:  checkpoint starting: xlog
1464770640.500 2016-06-01 08:44:00 UTC 3337  [574d85aa.d09:764] LOG:  checkpoint complete: wrote 753413 buffers (35.9%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=37.246 s, sync=0.008 s, total=37.628 s; sync files=52, longest=0.004 s, average=0.000 s; distance=6701041 kB, estimate=6701105 kB
1464770654.679 2016-06-01 08:44:14 UTC 8128  [574ea056.1fc0:1] FATAL:  terminating autovacuum process due to administrator command
1464770656.407 2016-06-01 08:44:16 UTC 3337  [574d85aa.d09:765] LOG:  checkpoint starting: immediate force wait
1464770657.015 2016-06-01 08:44:17 UTC 3337  [574d85aa.d09:766] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 409 recycled; write=0.067 s, sync=0.000 s, total=0.608 s; sync files=2, longest=0.000 s, average=0.000 s; distance=4751408 kB, estimate=6506135 kB
1464770662.677 2016-06-01 08:44:22 UTC 3337  [574d85aa.d09:767] LOG:  checkpoint starting: immediate force wait flush-all
1464770663.253 2016-06-01 08:44:23 UTC 3337  [574d85aa.d09:768] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 40 removed, 250 recycled; write=0.069 s, sync=0.000 s, total=0.575 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=5855522 kB
1464770663.320 2016-06-01 08:44:23 UTC 3337  [574d85aa.d09:769] LOG:  checkpoint starting: immediate force wait
1464770663.386 2016-06-01 08:44:23 UTC 3337  [574d85aa.d09:770] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.064 s, sync=0.000 s, total=0.065 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=5269969 kB
1464771263.183 2016-06-01 08:54:23 UTC 3337  [574d85aa.d09:771] LOG:  checkpoint starting: time
1464771563.075 2016-06-01 08:59:23 UTC 3337  [574d85aa.d09:772] LOG:  checkpoint complete: wrote 2078 buffers (0.1%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=299.880 s, sync=0.009 s, total=299.892 s; sync files=92, longest=0.007 s, average=0.000 s; distance=27005 kB, estimate=4745673 kB
1464776663.327 2016-06-01 10:24:23 UTC 3337  [574d85aa.d09:773] LOG:  checkpoint starting: time
1464776963.055 2016-06-01 10:29:23 UTC 3337  [574d85aa.d09:774] LOG:  checkpoint complete: wrote 3453 buffers (0.2%); 0 transaction log file(s) added, 1 removed, 0 recycled; write=299.685 s, sync=0.008 s, total=299.727 s; sync files=450, longest=0.001 s, average=0.000 s; distance=316615 kB, estimate=4302767 kB
1464777263.321 2016-06-01 10:34:23 UTC 3337  [574d85aa.d09:775] LOG:  checkpoint starting: time
1464777563.135 2016-06-01 10:39:23 UTC 3337  [574d85aa.d09:776] LOG:  checkpoint complete: wrote 8294 buffers (0.4%); 0 transaction log file(s) added, 19 removed, 0 recycled; write=299.732 s, sync=0.011 s, total=299.814 s; sync files=213, longest=0.000 s, average=0.000 s; distance=1888759 kB, estimate=4061366 kB
1464777864.113 2016-06-01 10:44:24 UTC 3337  [574d85aa.d09:777] LOG:  checkpoint starting: time
1464778164.191 2016-06-01 10:49:24 UTC 3337  [574d85aa.d09:778] LOG:  checkpoint complete: wrote 8256 buffers (0.4%); 0 transaction log file(s) added, 116 removed, 0 recycled; write=299.916 s, sync=0.002 s, total=300.077 s; sync files=96, longest=0.000 s, average=0.000 s; distance=1405611 kB, estimate=3795791 kB
1464780864.489 2016-06-01 11:34:24 UTC 3337  [574d85aa.d09:779] LOG:  checkpoint starting: time
